PolicyID,Policy Type,Premium Amount,Start Date,End Date
P001,Health,12000,2023-01-01,2024-01-01
P002,Auto,8000,2023-02-01,2024-02-01
P003,Health,15000,2023-03-01,2024-03-01
P004,Life,10000,2023-04-01,2024-04-01
P005,Health,13000,2023-05-01,2024-05-01
P006,Auto,9000,2023-06-01,2024-06-01
P007,Life,11000,2023-07-01,2024-07-01
P008,Health,16000,2023-08-01,2024-08-01
P009,Auto,8500,2023-09-01,2024-09-01
P010,Life,12000,2023-10-01,2024-10-01
P011,Health,14000,2023-01-01,2024-01-01
P012,Auto,8200,2023-02-01,2024-02-01
P013,Life,10500,2023-03-01,2024-03-01
P014,Health,13500,2023-04-01,2024-04-01
P015,Auto,8700,2023-05-01,2024-05-01
P016,Life,11500,2023-06-01,2024-06-01
P017,Health,15500,2023-07-01,2024-07-01
P018,Auto,8800,2023-08-01,2024-08-01
P019,Life,10800,2023-09-01,2024-09-01
P020,Health,14500,2023-10-01,2024-10-01
P021,Auto,8300,2023-01-01,2024-01-01
P022,Life,11200,2023-02-01,2024-02-01
P023,Health,15000,2023-03-01,2024-03-01
P024,Auto,8600,2023-04-01,2024-04-01
P025,Life,10900,2023-05-01,2024-05-01
P026,Health,14800,2023-06-01,2024-06-01
P027,Auto,8900,2023-07-01,2024-07-01
P028,Life,12000,2023-08-01,2024-08-01
P029,Health,15200,2023-09-01,2024-09-01
P030,Auto,8700,2023-10-01,2024-10-01
P031,Life,11300,2023-01-01,2024-01-01
P032,Health,14900,2023-02-01,2024-02-01
P033,Auto,8400,2023-03-01,2024-03-01
P034,Life,11800,2023-04-01,2024-04-01
P035,Health,15100,2023-05-01,2024-05-01
P036,Auto,8800,2023-06-01,2024-06-01
P037,Life,11000,2023-07-01,2024-07-01
P038,Health,15300,2023-08-01,2024-08-01
P039,Auto,8600,2023-09-01,2024-09-01
P040,Life,11700,2023-10-01,2024-10-01
P041,Health,15000,2023-01-01,2024-01-01
P042,Auto,8200,2023-02-01,2024-02-01
P043,Life,11500,2023-03-01,2024-03-01
P044,Health,14800,2023-04-01,2024-04-01
P045,Auto,8700,2023-05-01,2024-05-01
P046,Life,11100,2023-06-01,2024-06-01
P047,Health,15200,2023-07-01,2024-07-01
P048,Auto,8800,2023-08-01,2024-08-01
P049,Life,10900,2023-09-01,2024-09-01
P050,Health,15400,2023-10-01,2024-10-01